,Akkermansia muciniphila [1008],Prevotella timonensis [1058],Prevotella buccalis [1059],Prevotella oralis [1060],unnamed Prevotella sp. oral taxon 299 [1061],unnamed Prevotella sp. oral taxon 317 [1062],unnamed Prevotella sp. oral taxon 472 [1063],Prevotella marshii [1064],Prevotella buccae [1065],Prevotella bergensis [1066],Prevotella dentalis [1067],Prevotella multisaccharivorax [1068],Prevotella nigrescens [1069],Prevotella pallens [1070],Prevotella disiens [1071],Prevotella denticola [1072],Prevotella multiformis [1073],Prevotella melaninogenica [1074],Prevotella veroralis [1075],Prevotella bivia [1076],Prevotella amnii [1077],Prevotella oris [1078],Prevotella salivae [1079],Prevotella oulorum [1080],Prevotella copri [1081],Prevotella bryantii [1082],Prevotella ruminicola [1083],Paraprevotella xylaniphila [1087],Prevotella tannerae [1112],unidentified eubacterium SCB49 [1145],Eubacterium biforme [1275],Eubacterium cylindroides [1276],Eubacterium dolichum [1280],Streptococcus criceti [1371],Streptococcus downei [1372],Streptococcus mutans [1373],Streptococcus macacae [1374],Streptococcus thermophilus [1375],Streptococcus vestibularis [1376],Streptococcus salivarius [1377],unnamed Streptococcus sp. C150 [1378],Streptococcus gallolyticus [1379],Streptococcus infantarius [1380],Streptococcus equinus [1381],Streptococcus equi [1382],Streptococcus parauberis [1383],Streptococcus ictaluri [1384],Streptococcus porcinus [1385],Streptococcus pseudoporcinus [1386],Streptococcus uberis [1387],Streptococcus agalactiae [1388],Streptococcus pyogenes [1389],Streptococcus dysgalactiae [1390],Streptococcus urinalis [1391],Streptococcus suis [1392],Streptococcus anginosus [1393],Streptococcus anginosus [1394],Streptococcus constellatus [1395],Streptococcus cristatus [1396],Streptococcus sanguinis [1397],Streptococcus gordonii [1398],unnamed Streptococcus sp. oral taxon 056 [1399],Streptococcus pneumoniae [1400],Streptococcus pseudopneumoniae [1401],Streptococcus mitis [1402],Streptococcus mitis [1403],Streptococcus mitis [1404],unnamed Streptococcus sp. M334 [1405],Streptococcus mitis [1406],unnamed Streptococcus sp. M143 [1407],Streptococcus mitis [1408],Streptococcus mitis [1409],Streptococcus oralis [1410],Streptococcus oralis [1411],Streptococcus sanguinis [1412],unnamed Streptococcus sp. oral taxon 071 [1413],Streptococcus mitis [1414],Streptococcus infantis [1415],Streptococcus infantis [1416],Streptococcus infantis [1417],Streptococcus infantis [1418],Streptococcus peroris [1419],Streptococcus australis [1420],Streptococcus parasanguinis [1421],Fusobacterium gonidiaformans [1476],unnamed Fusobacterium sp. D12 [1477],Fusobacterium periodonticum [1478],Fusobacterium nucleatum [1479],Fusobacterium nucleatum [1480],unclassified Fusobacterium [1481],unclassified Fusobacterium [1482],Fusobacterium ulcerans [1483],Fusobacterium varium [1484],Fusobacterium mortiferum [1485],Peptostreptococcus stomatis [1530],Peptostreptococcus anaerobius [1531],[Eubacterium] yurii [1536],Eubacterium saphenum [1563],Eubacterium siraeum [1564],Faecalibacterium prausnitzii [1574],Faecalibacterium prausnitzii [1575],Faecalibacterium prausnitzii [1576],Faecalibacterium prausnitzii [1577],Eubacterium limosum [1582],Lachnospiraceae oral taxon 107 [1590],Eubacterium saburreum [1591],Eubacterium hallii [1597],unnamed Lachnospiraceae bacterium 1_4_56FAA [1612],unclassified Lachnospiraceae [1614],unnamed Lachnospiraceae bacterium 2_1_46FAA [1615],unnamed Lachnospiraceae bacterium 3_1_57FAA_CT1 [1624],Eubacterium eligens [1627],Eubacterium ventriosum [1629],Eubacterium rectale [1630],Roseburia intestinalis [1631],Roseburia inulinivorans [1632],Roseburia hominis [1633],Eubacterium cellulosolvens [1636],Escherichia coli [390],Escherichia albertii [391],Bifidobacterium animalis [967],Bifidobacterium bifidum [968],Bifidobacterium breve [969],Bifidobacterium longum [970],Bifidobacterium dentium [971],Bifidobacterium adolescentis [972],Bifidobacterium catenulatum-Bifidobacterium pseudocatenulatum complex [973],Bifidobacterium angulatum [974],Bifidobacterium gallicum [975]
CCIS27304052ST-3-0,0.007930223,0.0,2.87e-06,0.0,0.0,0.0,0.0,0.0,2.9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28e-06,0.0,0.0,0.0,0.0,3.98e-05,0.0,0.0,0.000446842,0.0,0.0,0.0,0.000615484,0.0,0.0,4.93e-06,3.29e-05,0.0,0.000891526,1.84e-05,0.000542668,3.24e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08e-06,1.36e-05,0.0,0.0,5.08e-06,0.0,1.52e-05,4.35e-06,8.72e-07,0.0,0.0,8.49e-07,0.0,0.0,1.05e-05,0.0,9.02e-06,1.4e-06,0.0,5.04e-05,0.0,0.0,0.0,4.67e-06,2.68e-05,0.000110912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001455448,0.000679082,0.003310635,0.000947173,0.004019032,2.94e-06,0.0,0.0,0.000544025,0.0,0.0,0.0,2.34e-05,0.033746057,0.001999369,0.033240859,6.93e-05,0.003254618,0.00071254,0.0,0.001378866,0.0,9.73e-05,0.0,0.0,0.000258906,0.0,0.000196879,0.000297328,8.38e-06,0.0
CCIS15794887ST-4-0,4.63e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028269132,0.0,0.0,0.000153591,0.0,0.0,0.00119007,0.0,0.0,0.0,6.08e-06,6.23e-06,0.0,3.8e-05,2.39e-05,0.000230384,4.66e-06,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38e-06,2.38e-06,0.0,1.66e-06,2.97e-05,6.19e-06,0.0,1.18e-06,7.32e-08,1.18e-05,6.92e-06,1.35e-06,0.0,2.09e-05,2.07e-05,2.35e-06,0.0,5.5e-05,1.43e-05,5.01e-06,0.0,5.63e-06,6.6e-05,0.0,2.71e-05,0.0,6.2e-06,9.72e-06,0.000381036,0.0,0.0,2.16e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68e-05,0.0,0.0,0.0,4.65e-06,0.008443045,0.0152269,0.004186242,0.039191456,0.0,0.0,0.0,0.009238063,0.0,0.0,0.0,0.0,0.003220178,0.000313455,0.000464712,3.81e-05,0.000259415,0.011345421,0.0,4.6e-05,0.0,0.0,0.024178198,0.000110248,0.00705003,9.12e-06,0.008995265,0.000371086,0.002119975,0.0
CCIS74726977ST-3-0,0.0,0.0,1.96e-06,0.0,0.0,0.0,0.0,0.0,2.38e-06,9.32e-07,1.34e-06,1.95e-06,0.0,0.0,0.0,9.5e-07,2.01e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068865097,8.66e-06,0.0,0.0,2.73e-06,0.0,0.000973884,0.000236895,0.0,0.0,1.08e-06,2.1e-05,0.0,8.57e-05,0.000208078,0.00148799,6.8e-05,2.58e-05,0.0,1.42e-06,0.0,3.71e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08e-05,2.13e-05,1.61e-05,5.63e-06,4.88e-05,9.02e-05,0.0,1.1e-05,1.97e-06,2.97e-05,7.13e-06,6.21e-06,3.82e-06,8.72e-06,0.0,6.52e-06,0.0,1.98e-05,0.0,1.74e-06,1.75e-06,1.23e-05,4.01e-05,2.91e-05,5.3e-05,1.12e-05,8.07e-06,8.48e-05,0.001072457,0.0,0.0,0.0,0.0,0.0,1.1e-05,1.55e-06,0.0,0.0,0.0,1.26e-05,0.0,0.0,1.83e-06,0.000597128,0.001179332,0.001862586,0.001513714,0.007599986,0.0,0.0,0.0,0.000343791,0.0,0.0,0.0,1.66e-05,0.017794156,0.000639551,6.48e-05,0.000127456,0.000164238,0.000330146,0.0,0.00043679,0.0,0.0,0.0,0.0,2.72e-05,9.37e-06,1.1e-06,7.13e-05,0.0,0.0
CCIS16561622ST-4-0,0.000772664,0.0,9.26e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21e-05,1.52e-05,0.0,0.007731903,0.000166653,0.000998779,6.57e-05,6.96e-06,6.45e-06,3.09e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73e-06,4.64e-06,0.0,0.0,5.23e-05,1.22e-05,1.34e-05,0.0,7.55e-05,8.22e-05,2.27e-06,2e-05,6.2e-06,2.6e-05,2.47e-05,1.69e-05,1.11e-05,0.0,0.0,0.0,8.64e-06,7.54e-06,2.79e-06,0.0,9.66e-06,0.0,2.02e-05,3.2e-06,3.1e-06,4.95e-06,5e-06,3.01e-05,0.000196945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41e-06,0.059573678,0.000487142,0.004137094,0.000181881,0.006026496,0.000235814,0.0,0.0,0.006046293,0.000215485,0.0,0.0,9.47e-05,0.032794372,0.009676943,0.005600207,0.001224485,0.003295123,0.000197628,0.0,9.12e-06,0.0,0.003336018,0.0,0.0,2.54e-05,1.8e-06,1.57e-06,2.86e-06,0.0,0.0
CCIS79210440ST-3-0,0.002989496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015945874,0.0,0.0,0.00057123,0.0,0.0,0.001708881,0.0,0.0,0.0,0.0,5.61e-06,0.0,0.000629566,2.82e-05,0.000307434,0.0,0.001020811,0.004709693,0.00174337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000112554,9.16e-05,1.99e-05,0.0,1.83e-05,1.81e-05,0.0,4.73e-05,0.0,1.8e-05,1.09e-06,0.0,1.35e-05,1.82e-06,1.53e-05,0.0,7.38e-06,3.78e-05,4.51e-06,6.39e-06,1.46e-05,7.11e-06,1.49e-05,0.0,4.91e-06,0.0,3.72e-06,2.11e-05,0.000127672,0.0,0.0,0.0,0.0,5.39e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031263489,0.004104842,0.000856254,0.001562074,0.000740016,0.0,0.0,0.0,0.00176587,0.0,4.44e-06,0.0,0.000484632,0.026929274,0.001839816,0.017688545,0.000319092,0.005457289,0.003975174,5.3e-06,0.034731192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCIS82507866ST-3-0,1.08e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.71e-05,0.0,0.0,0.000816225,0.0,0.0,0.000622262,0.000336184,0.0,0.0,0.0,0.0,0.0,0.001582268,1.95e-05,0.000499996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11e-06,2.11e-06,0.0,2.03e-05,0.0,1.18e-05,0.0,3.11e-05,1.64e-05,1.92e-05,0.0,4.08e-05,1.93e-05,1.18e-05,1.54e-05,0.0,0.0,2.51e-05,2.09e-06,7.46e-06,0.0,5.08e-06,5.8e-05,5.5e-06,1.3e-05,8.11e-06,3.86e-06,1.19e-05,4.04e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12e-06,0.0,0.0,0.0,0.000536884,0.002735355,0.001891108,0.002802384,0.005487988,0.0,0.0,0.0,0.001866252,4.62e-06,0.0,0.0,0.0,0.015566647,0.000674164,0.033304271,0.000367221,0.004608423,0.001058093,0.0,0.000225535,0.0,0.0,0.0,0.0,0.000638318,8.26e-06,0.0007269,0.00015548,0.0,0.0
CCIS98482370ST-3-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46e-06,0.0,1.01e-05,0.0,0.0,0.0,0.0,1.39e-05,5.95e-05,0.0,0.0,0.0,0.0,0.0,3.54e-06,0.0,1.99e-05,0.0,3.52e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32e-05,1.71e-05,0.00010282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03e-06,1.78e-05,0.0,0.0,2.42e-05,0.0,5.98e-05,1.62e-05,1.06e-05,1.68e-06,4.71e-06,5.52e-06,0.0,0.0,2.43e-05,0.0,6.01e-06,3.02e-06,7.16e-06,3.82e-05,0.0,0.0,0.0,0.0,6.24e-05,0.000132637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47e-06,0.0,0.0,0.0,4.5e-06,0.008360826,0.003822006,0.002000895,0.010351808,0.0,0.0,0.0,0.001618456,1.08e-05,0.0,3.79e-06,3.68e-06,0.008240432,0.003236145,0.020477716,0.006396284,0.011282961,0.00032053,0.0,7.32e-05,0.0,0.0,0.0,0.0,0.000275526,4.05e-06,9.52e-05,0.0,0.000196095,0.0
CCIS00281083ST-3-0,0.001606056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96e-05,0.0,0.0,0.0,6.71e-06,3.34e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351125895,7.77e-06,0.0,0.0,0.0,0.0,0.0,6.84e-05,3.18e-05,0.0,0.0,6.97e-06,0.0,0.001431404,0.0,0.000186945,1.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29e-06,6.69e-06,0.0,2.01e-05,0.0,0.0,6.72e-06,0.0,6.66e-06,0.0,0.0,0.0,1.43e-05,1.3e-05,0.0,0.0,6.32e-06,0.0,1e-05,0.0,0.0,0.0,0.0,5e-06,2.52e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002118654,0.003586427,0.001268459,0.002338977,0.007059888,0.0,0.0,1.1e-05,0.000225805,0.000136041,0.0,0.0,3.07e-05,0.002640976,0.006554843,0.000776688,0.024723772,0.01440541,8.11e-05,0.0,7.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCIS32452666ST-4-0,5.67e-05,0.0,0.0,9.63e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3e-06,0.0,0.0,0.000322593,0.0,0.0,5.01e-06,0.0,0.0,0.0,1.51e-05,1.64e-05,0.0,0.0048794,3.59e-05,0.000359083,5.25e-06,7.13e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38e-05,1.89e-05,8.29e-05,1.18e-05,4.52e-05,1.08e-05,7.49e-05,2.93e-05,4.39e-05,1.44e-05,4.43e-05,3.16e-05,1.75e-05,1.33e-05,0.000179094,1.94e-05,2.22e-05,1.51e-05,1.27e-05,0.000353403,6.74e-05,5.12e-05,0.000100833,2.54e-05,0.000885412,0.000734123,0.0,0.0,0.000103345,0.0,9.89e-06,0.0,0.0,0.0,0.0,0.0,1.3e-05,0.0,0.0,0.0,0.001007564,0.003091813,0.008907321,0.002679041,0.010230895,0.0,0.0,4.99e-06,0.001276369,0.0,2.6e-06,0.0,2.66e-05,0.018626268,0.000227912,0.038241171,0.013697826,0.00582825,0.005456362,0.0,0.003999461,0.0,0.0,6.6e-06,0.0,0.0,0.001829135,3.32e-06,0.0,0.0,0.0
CCIS94417875ST-3-0,0.006279103,0.0,0.0,0.0,0.0,2.71e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4e-06,0.0,2.43e-06,1.21e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38e-06,0.0,0.0,0.000294417,0.000118922,0.0,0.0,0.0,0.0,0.0,0.000139075,2.44e-05,0.000183488,7.16e-06,4.33e-06,8.91e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93e-06,5.63e-06,0.0,8.69e-06,0.0,0.0,1.58e-05,0.0,1.86e-05,0.0,7.58e-06,0.0,7.87e-06,4.36e-06,0.0,0.0,1.3e-05,0.0,0.0,0.0,1.15e-05,1.72e-05,1.34e-05,0.0,0.0,0.0,1.62e-05,2.7e-05,0.0,0.0,0.0,0.0,0.0,1.71e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00443996,0.002076585,0.003057441,0.004453084,0.001016651,0.0,0.0,0.0,0.001771719,0.0,0.0,0.0,2.13e-05,0.002048911,0.001793911,0.000809152,0.0,0.002206692,1.49e-05,0.0,7.12e-05,0.0,1.22e-05,2.16e-05,3.29e-05,0.001932207,1.53e-05,0.000743768,0.002887053,3.63e-05,0.0
